prcp
45.0
32.0
39.0
7.0
10.0
48.0
7.0
3.0
5.0
7.0
18.0
9.0
22.0
45.0
40.0
46.0
17.0
3.0
13.0
58.0
4.0
89.0
9.0
46.8
